Entry	Ensembl_Protein	isomap:M20200405A94466D2655679D1FD8953E075198DA823CF7DE	Entry name	Status	Organism	Length
Q9BW04	ENSP00000352447	ENSP00000352447 -> Q9BW04-1	SARG_HUMAN	reviewed	Homo sapiens (Human)	601
Q13361	ENSP00000352455	ENSP00000352455 -> Q13361-1	MFAP5_HUMAN	reviewed	Homo sapiens (Human)	173
Q02325	ENSP00000347933,ENSP00000352458		PLGB_HUMAN	reviewed	Homo sapiens (Human)	96
Q9UGU0	ENSP00000352463	ENSP00000352463 -> Q9UGU0-1	TCF20_HUMAN	reviewed	Homo sapiens (Human)	1960
O15040	ENSP00000352510	ENSP00000352510 -> O15040-1	TCPR2_HUMAN	reviewed	Homo sapiens (Human)	1411
O95297	ENSP00000352513	ENSP00000352513 -> O95297-1	MPZL1_HUMAN	reviewed	Homo sapiens (Human)	269
P26358	ENSP00000352516	ENSP00000352516 -> P26358-2	DNMT1_HUMAN	reviewed	Homo sapiens (Human)	1616
Q9UI12	ENSP00000352522	ENSP00000352522 -> Q9UI12-1	VATH_HUMAN	reviewed	Homo sapiens (Human)	483
O95279	ENSP00000352527		KCNK5_HUMAN	reviewed	Homo sapiens (Human)	499
Q8WUA4	ENSP00000352536	ENSP00000352536 -> Q8WUA4-1	TF3C2_HUMAN	reviewed	Homo sapiens (Human)	911
P54851	ENSP00000352540		EMP2_HUMAN	reviewed	Homo sapiens (Human)	167
Q6PUV4	ENSP00000352544		CPLX2_HUMAN	reviewed	Homo sapiens (Human)	134
A0A0A0MRG0	ENSP00000352561		A0A0A0MRG0_HUMAN	unreviewed	Homo sapiens (Human)	508
P61296	ENSP00000352565	ENSP00000352565 -> P61296-1	HAND2_HUMAN	reviewed	Homo sapiens (Human)	217
O95613	ENSP00000352572	ENSP00000352572 -> O95613-1	PCNT_HUMAN	reviewed	Homo sapiens (Human)	3336
O60218	ENSP00000352584		AK1BA_HUMAN	reviewed	Homo sapiens (Human)	316
Q7Z4F1	ENSP00000352601	ENSP00000352601 -> Q7Z4F1-1	LRP10_HUMAN	reviewed	Homo sapiens (Human)	713
O00189	ENSP00000352603		AP4M1_HUMAN	reviewed	Homo sapiens (Human)	453
Q8NH03	ENSP00000352604		OR2T3_HUMAN	reviewed	Homo sapiens (Human)	318
P21817	ENSP00000352608	ENSP00000352608 -> P21817-1	RYR1_HUMAN	reviewed	Homo sapiens (Human)	5038
Q9P217	ENSP00000352614		ZSWM5_HUMAN	reviewed	Homo sapiens (Human)	1185
Q8NGY2	ENSP00000352626		OR6K2_HUMAN	reviewed	Homo sapiens (Human)	324
P08217	ENSP00000352639		CEL2A_HUMAN	reviewed	Homo sapiens (Human)	269
Q9BV99	ENSP00000352642		LRC61_HUMAN	reviewed	Homo sapiens (Human)	259
Q9NV66	ENSP00000352645	ENSP00000352645 -> Q9NV66-1	TYW1_HUMAN	reviewed	Homo sapiens (Human)	732
Q96LB8	ENSP00000352672	ENSP00000352672 -> Q96LB8-1	PGRP4_HUMAN	reviewed	Homo sapiens (Human)	373
P78545	ENSP00000352673	ENSP00000352673 -> P78545-1	ELF3_HUMAN	reviewed	Homo sapiens (Human)	371
Q9UGI0	ENSP00000352676		ZRAN1_HUMAN	reviewed	Homo sapiens (Human)	708
Q8IYB8	ENSP00000352678		SUV3_HUMAN	reviewed	Homo sapiens (Human)	786
Q6NVY1	ENSP00000352706	ENSP00000352706 -> Q6NVY1-1	HIBCH_HUMAN	reviewed	Homo sapiens (Human)	386
Q96R28	ENSP00000352710		OR2M2_HUMAN	reviewed	Homo sapiens (Human)	347
Q8NGZ3	ENSP00000352717		O13G1_HUMAN	reviewed	Homo sapiens (Human)	307
Q9UN86	ENSP00000352738	ENSP00000352738 -> Q9UN86-1	G3BP2_HUMAN	reviewed	Homo sapiens (Human)	482
Q15043	ENSP00000352779	ENSP00000352779 -> Q15043-3	S39AE_HUMAN	reviewed	Homo sapiens (Human)	492
Q86SJ6	ENSP00000352785	ENSP00000352785 -> Q86SJ6-2	DSG4_HUMAN	reviewed	Homo sapiens (Human)	1040
Q8IZN3	ENSP00000352821	ENSP00000352821 -> Q8IZN3-1	ZDH14_HUMAN	reviewed	Homo sapiens (Human)	488
A0A0B4J1S7	ENSP00000352833		A0A0B4J1S7_HUMAN	unreviewed	Homo sapiens (Human)	807
Q8TD23	ENSP00000352836		ZN675_HUMAN	reviewed	Homo sapiens (Human)	568
Q8N4W9	ENSP00000352846	ENSP00000352846 -> Q8N4W9-1	ZN808_HUMAN	reviewed	Homo sapiens (Human)	903
Q5JXA9	ENSP00000352849	ENSP00000352849 -> Q5JXA9-1	SIRB2_HUMAN	reviewed	Homo sapiens (Human)	342
Q9HCM2	ENSP00000352882	ENSP00000352882 -> Q9HCM2-1	PLXA4_HUMAN	reviewed	Homo sapiens (Human)	1894
P48443	ENSP00000352900		RXRG_HUMAN	reviewed	Homo sapiens (Human)	463
Q96P26	ENSP00000352904	ENSP00000352904 -> Q96P26-1	5NT1B_HUMAN	reviewed	Homo sapiens (Human)	610
Q9Y4A5	ENSP00000352925	ENSP00000352925 -> Q9Y4A5-1	TRRAP_HUMAN	reviewed	Homo sapiens (Human)	3859
Q53GI4	ENSP00000352926		Q53GI4_HUMAN	unreviewed	Homo sapiens (Human)	434
Q9Y4B5	ENSP00000352927	ENSP00000352927 -> Q9Y4B5-3	MTCL1_HUMAN	reviewed	Homo sapiens (Human)	1905
Q9BW61	ENSP00000352928		DDA1_HUMAN	reviewed	Homo sapiens (Human)	102
Q9NQ38	ENSP00000352936	ENSP00000352936 -> Q9NQ38-3	ISK5_HUMAN	reviewed	Homo sapiens (Human)	1064
Q6PI47	ENSP00000352941	ENSP00000352941 -> Q6PI47-1	KCD18_HUMAN	reviewed	Homo sapiens (Human)	426
Q86U06	ENSP00000352956	ENSP00000352956 -> Q86U06-1	RBM23_HUMAN	reviewed	Homo sapiens (Human)	439
Q6T4P5	ENSP00000352962	ENSP00000352962 -> Q6T4P5-3	PLPR3_HUMAN	reviewed	Homo sapiens (Human)	718
Q86W34	ENSP00000352976	ENSP00000352976 -> Q86W34-4	AMZ2_HUMAN	reviewed	Homo sapiens (Human)	360
A0A3B3IPE9	ENSP00000352995		A0A3B3IPE9_HUMAN	unreviewed	Homo sapiens (Human)	1119
Q8IWU5	ENSP00000353007	ENSP00000353007 -> Q8IWU5-1	SULF2_HUMAN	reviewed	Homo sapiens (Human)	870
Q96BY7	ENSP00000353010		ATG2B_HUMAN	reviewed	Homo sapiens (Human)	2078
Q86T13	ENSP00000353013		CLC14_HUMAN	reviewed	Homo sapiens (Human)	490
Q92520	ENSP00000353025		FAM3C_HUMAN	reviewed	Homo sapiens (Human)	227
P10586	ENSP00000353030	ENSP00000353030 -> P10586-1	PTPRF_HUMAN	reviewed	Homo sapiens (Human)	1907
Q99571	ENSP00000353032	ENSP00000353032 -> Q99571-2	P2RX4_HUMAN	reviewed	Homo sapiens (Human)	388
Q8NG85	ENSP00000353044		OR2L3_HUMAN	reviewed	Homo sapiens (Human)	312
Q96SF2	ENSP00000353048		TCPQM_HUMAN	reviewed	Homo sapiens (Human)	557
Q6ZMY9	ENSP00000353058		ZN517_HUMAN	reviewed	Homo sapiens (Human)	492
Q93084	ENSP00000353072	ENSP00000353072 -> Q93084-5	AT2A3_HUMAN	reviewed	Homo sapiens (Human)	1043
A0A5F9UP49	ENSP00000353094		A0A5F9UP49_HUMAN	unreviewed	Homo sapiens (Human)	355
Q9BTE3	ENSP00000353098	ENSP00000353098 -> Q9BTE3-1	MCMBP_HUMAN	reviewed	Homo sapiens (Human)	642
P01911	ENSP00000353099		DRB_HUMAN	reviewed	Homo sapiens (Human)	266
Q86SQ9	ENSP00000353104	ENSP00000353104 -> Q86SQ9-2	DHDDS_HUMAN	reviewed	Homo sapiens (Human)	333
Q8IVF2	ENSP00000353114	ENSP00000353114 -> Q8IVF2-1	AHNK2_HUMAN	reviewed	Homo sapiens (Human)	5795
Q5VW00	ENSP00000353128		DC122_HUMAN	reviewed	Homo sapiens (Human)	463
Q6ZWB6	ENSP00000353129		KCTD8_HUMAN	reviewed	Homo sapiens (Human)	473
Q8NFW5	ENSP00000353132	ENSP00000353132 -> Q8NFW5-2	DMBX1_HUMAN	reviewed	Homo sapiens (Human)	382
Q96RP7	ENSP00000353142	ENSP00000353142 -> Q96RP7-1	G3ST4_HUMAN	reviewed	Homo sapiens (Human)	486
Q00056	ENSP00000353151		HXA4_HUMAN	reviewed	Homo sapiens (Human)	320
Q9H3S4	ENSP00000353165	ENSP00000353165 -> Q9H3S4-1	TPK1_HUMAN	reviewed	Homo sapiens (Human)	243
P10082	ENSP00000353198	ENSP00000353198 -> P10082-1	PYY_HUMAN	reviewed	Homo sapiens (Human)	97
Q5T7P3	ENSP00000353203		LCE1B_HUMAN	reviewed	Homo sapiens (Human)	118
Q6T311	ENSP00000353210	ENSP00000353210 -> Q6T311-2	ARL9_HUMAN	reviewed	Homo sapiens (Human)	187
P02786	ENSP00000353224		TFR1_HUMAN	reviewed	Homo sapiens (Human)	760
P16150	ENSP00000353238		LEUK_HUMAN	reviewed	Homo sapiens (Human)	400
Q6ZQX7	ENSP00000353245	ENSP00000353245 -> Q6ZQX7-4	LIAT1_HUMAN	reviewed	Homo sapiens (Human)	453
Q9BXY0	ENSP00000353246		MAK16_HUMAN	reviewed	Homo sapiens (Human)	300
Q8NDL9	ENSP00000353249	ENSP00000353249 -> Q8NDL9-1	CBPC5_HUMAN	reviewed	Homo sapiens (Human)	886
Q9UGN4	ENSP00000353259	ENSP00000353259 -> Q9UGN4-1	CLM8_HUMAN	reviewed	Homo sapiens (Human)	299
Q96RQ1	ENSP00000353270		ERGI2_HUMAN	reviewed	Homo sapiens (Human)	377
P37088	ENSP00000353292	ENSP00000353292 -> P37088-2	SCNNA_HUMAN	reviewed	Homo sapiens (Human)	669
Q5JTY5	ENSP00000353295	ENSP00000353295 -> Q5JTY5-1	CBWD3_HUMAN	reviewed	Homo sapiens (Human)	395
Q6UWL6	ENSP00000353331		KIRR2_HUMAN	reviewed	Homo sapiens (Human)	708
Q9NZ71	ENSP00000353332	ENSP00000353332 -> Q9NZ71-6	RTEL1_HUMAN	reviewed	Homo sapiens (Human)	1219
Q8NGK5	ENSP00000353343		O52M1_HUMAN	reviewed	Homo sapiens (Human)	317
P15036	ENSP00000353344		ETS2_HUMAN	reviewed	Homo sapiens (Human)	469
Q8TAF8	ENSP00000353346		LHPL5_HUMAN	reviewed	Homo sapiens (Human)	219
O00555	ENSP00000353362	ENSP00000353362 -> O00555-8	CAC1A_HUMAN	reviewed	Homo sapiens (Human)	2506
P27816	ENSP00000353375	ENSP00000353375 -> P27816-1	MAP4_HUMAN	reviewed	Homo sapiens (Human)	1152
Q68D86	ENSP00000353377	ENSP00000353377 -> Q68D86-1	C102B_HUMAN	reviewed	Homo sapiens (Human)	513
P43358	ENSP00000353379		MAGA4_HUMAN	reviewed	Homo sapiens (Human)	317
P00451	ENSP00000353393	ENSP00000353393 -> P00451-1	FA8_HUMAN	reviewed	Homo sapiens (Human)	2351
P39880	ENSP00000353401	ENSP00000353401 -> P39880-3	CUX1_HUMAN	reviewed	Homo sapiens (Human)	1505
P26038	ENSP00000353408		MOES_HUMAN	reviewed	Homo sapiens (Human)	577
Q01814	ENSP00000353414	ENSP00000353414 -> Q01814-1	AT2B2_HUMAN	reviewed	Homo sapiens (Human)	1243
Q96RL7	ENSP00000353422	ENSP00000353422 -> Q96RL7-1	VP13A_HUMAN	reviewed	Homo sapiens (Human)	3174
P61020	ENSP00000353444	ENSP00000353444 -> P61020-1	RAB5B_HUMAN	reviewed	Homo sapiens (Human)	215
Q15746	ENSP00000353452	ENSP00000353452 -> Q15746-1	MYLK_HUMAN	reviewed	Homo sapiens (Human)	1914
Q9NRL2	ENSP00000353458	ENSP00000353458 -> Q9NRL2-1	BAZ1A_HUMAN	reviewed	Homo sapiens (Human)	1556
Q9NQ75	ENSP00000353462	ENSP00000353462 -> Q9NQ75-1	CASS4_HUMAN	reviewed	Homo sapiens (Human)	786
Q86YP4	ENSP00000353463	ENSP00000353463 -> Q86YP4-1	P66A_HUMAN	reviewed	Homo sapiens (Human)	633
Q9NUD7	ENSP00000353470		CT096_HUMAN	reviewed	Homo sapiens (Human)	363
O95471	ENSP00000353475	ENSP00000353475 -> O95471-1	CLD7_HUMAN	reviewed	Homo sapiens (Human)	211
Q14592	ENSP00000353491	ENSP00000353491 -> Q14592-1	ZN460_HUMAN	reviewed	Homo sapiens (Human)	562
O60299	ENSP00000353496	ENSP00000353496 -> O60299-2	LZTS3_HUMAN	reviewed	Homo sapiens (Human)	673
P11137	ENSP00000353508	ENSP00000353508 -> P11137-1	MTAP2_HUMAN	reviewed	Homo sapiens (Human)	1827
Q8IXQ6	ENSP00000353512	ENSP00000353512 -> Q8IXQ6-1	PARP9_HUMAN	reviewed	Homo sapiens (Human)	854
Q7Z3T1	ENSP00000353516		OR2W3_HUMAN	reviewed	Homo sapiens (Human)	314
Q92625	ENSP00000353518	ENSP00000353518 -> Q92625-1	ANS1A_HUMAN	reviewed	Homo sapiens (Human)	1134
A6NL26	ENSP00000353537		OR5BL_HUMAN	reviewed	Homo sapiens (Human)	309
Q9C099	ENSP00000353538	ENSP00000353538 -> Q9C099-1	LRCC1_HUMAN	reviewed	Homo sapiens (Human)	1032
Q13042	ENSP00000353549	ENSP00000353549 -> Q13042-1	CDC16_HUMAN	reviewed	Homo sapiens (Human)	620
Q5T1Q4	ENSP00000353557	ENSP00000353557 -> Q5T1Q4-1	S35F1_HUMAN	reviewed	Homo sapiens (Human)	408
Q9NR50	ENSP00000353575	ENSP00000353575 -> Q9NR50-1	EI2BG_HUMAN	reviewed	Homo sapiens (Human)	452
O60462	ENSP00000353582	ENSP00000353582 -> O60462-1	NRP2_HUMAN	reviewed	Homo sapiens (Human)	931
P35580	ENSP00000353590	ENSP00000353590 -> P35580-4	MYH10_HUMAN	reviewed	Homo sapiens (Human)	1976
P0DMN0	ENSP00000353600		ST1A4_HUMAN	reviewed	Homo sapiens (Human)	295
Q14574	ENSP00000353608	ENSP00000353608 -> Q14574-1	DSC3_HUMAN	reviewed	Homo sapiens (Human)	896
Q6UWE3	ENSP00000353639	ENSP00000353639 -> Q6UWE3-2	COLL2_HUMAN	reviewed	Homo sapiens (Human)	100
Q58EX7	ENSP00000353646	ENSP00000353646 -> Q58EX7-1	PKHG4_HUMAN	reviewed	Homo sapiens (Human)	1191
A6NFH5	ENSP00000353650		FBP12_HUMAN	reviewed	Homo sapiens (Human)	140
Q3MIS6	ENSP00000353652	ENSP00000353652 -> Q3MIS6-1	ZN528_HUMAN	reviewed	Homo sapiens (Human)	628
P08572	ENSP00000353654		CO4A2_HUMAN	reviewed	Homo sapiens (Human)	1712
Q6ZMY3	ENSP00000353670	ENSP00000353670 -> Q6ZMY3-1	SPOC1_HUMAN	reviewed	Homo sapiens (Human)	1216
A2RUR9	ENSP00000353717	ENSP00000353717 -> A2RUR9-1	C144A_HUMAN	reviewed	Homo sapiens (Human)	1427
P23141	ENSP00000353720	ENSP00000353720 -> P23141-2	EST1_HUMAN	reviewed	Homo sapiens (Human)	567
P27487	ENSP00000353731		DPP4_HUMAN	reviewed	Homo sapiens (Human)	766
Q96DZ5	ENSP00000353732		CLIP3_HUMAN	reviewed	Homo sapiens (Human)	547
Q9UM63	ENSP00000353734	ENSP00000353734 -> Q9UM63-1	PLAL1_HUMAN	reviewed	Homo sapiens (Human)	463
Q9NS56	ENSP00000353735	ENSP00000353735 -> Q9NS56-1	TOPRS_HUMAN	reviewed	Homo sapiens (Human)	1045
Q96MG8	ENSP00000353739	ENSP00000353739 -> Q96MG8-1	PCMD1_HUMAN	reviewed	Homo sapiens (Human)	357
P62495	ENSP00000353741	ENSP00000353741 -> P62495-1	ERF1_HUMAN	reviewed	Homo sapiens (Human)	437
Q6PEX3	ENSP00000353742		KR261_HUMAN	reviewed	Homo sapiens (Human)	210
Q9ULZ9	ENSP00000353767	ENSP00000353767 -> Q9ULZ9-1	MMP17_HUMAN	reviewed	Homo sapiens (Human)	603
Q9H7N4	ENSP00000353769		SFR19_HUMAN	reviewed	Homo sapiens (Human)	1312
P31350	ENSP00000353770	ENSP00000353770 -> P31350-2	RIR2_HUMAN	reviewed	Homo sapiens (Human)	389
O94811	ENSP00000353785		TPPP_HUMAN	reviewed	Homo sapiens (Human)	219
P48067	ENSP00000353791	ENSP00000353791 -> P48067-1	SC6A9_HUMAN	reviewed	Homo sapiens (Human)	706
O75717	ENSP00000353793	ENSP00000353793 -> O75717-1	WDHD1_HUMAN	reviewed	Homo sapiens (Human)	1129
Q6P050	ENSP00000353794		FXL22_HUMAN	reviewed	Homo sapiens (Human)	247
Q8N9V6	ENSP00000353796	ENSP00000353796 -> Q8N9V6-1	ANR53_HUMAN	reviewed	Homo sapiens (Human)	530
Q86V86	ENSP00000353824		PIM3_HUMAN	reviewed	Homo sapiens (Human)	326
P36776	ENSP00000353826	ENSP00000353826 -> P36776-1	LONM_HUMAN	reviewed	Homo sapiens (Human)	959
O14713	ENSP00000353850	ENSP00000353850 -> O14713-1	ITBP1_HUMAN	reviewed	Homo sapiens (Human)	200
Q6ZRI6	ENSP00000353854	ENSP00000353854 -> Q6ZRI6-1	CO039_HUMAN	reviewed	Homo sapiens (Human)	1047
Q9UQR1	ENSP00000353863	ENSP00000353863 -> Q9UQR1-1	ZN148_HUMAN	reviewed	Homo sapiens (Human)	794
O75914	ENSP00000353864	ENSP00000353864 -> O75914-3	PAK3_HUMAN	reviewed	Homo sapiens (Human)	559
Q9H1Q7	ENSP00000353868	ENSP00000353868 -> Q9H1Q7-1	PED1A_HUMAN	reviewed	Homo sapiens (Human)	454
Q9NR96	ENSP00000353874	ENSP00000353874 -> Q9NR96-1	TLR9_HUMAN	reviewed	Homo sapiens (Human)	1032
Q8TCE9	ENSP00000353893	ENSP00000353893 -> Q8TCE9-2	PPL13_HUMAN	reviewed	Homo sapiens (Human)	139
Q9Y6M4	ENSP00000353904	ENSP00000353904 -> Q9Y6M4-2	KC1G3_HUMAN	reviewed	Homo sapiens (Human)	447
Q9BYC5	ENSP00000353910	ENSP00000353910 -> Q9BYC5-1	FUT8_HUMAN	reviewed	Homo sapiens (Human)	575
Q13639	ENSP00000353915	ENSP00000353915 -> Q13639-8	5HT4R_HUMAN	reviewed	Homo sapiens (Human)	388
P78563	ENSP00000353920	ENSP00000353920 -> P78563-1	RED1_HUMAN	reviewed	Homo sapiens (Human)	741
Q8IY82	ENSP00000353942	ENSP00000353942 -> Q8IY82-1	DRC7_HUMAN	reviewed	Homo sapiens (Human)	874
P58181	ENSP00000353988		O10A3_HUMAN	reviewed	Homo sapiens (Human)	314
P59991	ENSP00000354001		KR122_HUMAN	reviewed	Homo sapiens (Human)	146
A0A0C4DFT7	ENSP00000354003		A0A0C4DFT7_HUMAN	unreviewed	Homo sapiens (Human)	150
Q9BX84	ENSP00000354006	ENSP00000354006 -> Q9BX84-1	TRPM6_HUMAN	reviewed	Homo sapiens (Human)	2022
P57773	ENSP00000354020	ENSP00000354020 -> P57773-1	CXA9_HUMAN	reviewed	Homo sapiens (Human)	515
Q96G97	ENSP00000354032	ENSP00000354032 -> Q96G97-4	BSCL2_HUMAN	reviewed	Homo sapiens (Human)	398
Q9BZE4	ENSP00000354040	ENSP00000354040 -> Q9BZE4-1	NOG1_HUMAN	reviewed	Homo sapiens (Human)	634
Q9H1C3	ENSP00000354053		GL8D2_HUMAN	reviewed	Homo sapiens (Human)	349
Q6P3W7	ENSP00000354061		SCYL2_HUMAN	reviewed	Homo sapiens (Human)	929
Q8IWY4	ENSP00000354080		SCUB1_HUMAN	reviewed	Homo sapiens (Human)	988
Q8IWZ3	ENSP00000354085	ENSP00000354085 -> Q8IWZ3-1	ANKH1_HUMAN	reviewed	Homo sapiens (Human)	2542
Q9BZE1	ENSP00000354086		RM37_HUMAN	reviewed	Homo sapiens (Human)	423
Q08ET2	ENSP00000354090		SIG14_HUMAN	reviewed	Homo sapiens (Human)	396
Q8NE09	ENSP00000354109	ENSP00000354109 -> Q8NE09-1	RGS22_HUMAN	reviewed	Homo sapiens (Human)	1264
Q9H3Z4	ENSP00000354111	ENSP00000354111 -> Q9H3Z4-1	DNJC5_HUMAN	reviewed	Homo sapiens (Human)	198
P55884	ENSP00000354125	ENSP00000354125 -> P55884-1	EIF3B_HUMAN	reviewed	Homo sapiens (Human)	814
Q2M296	ENSP00000354152	ENSP00000354152 -> Q2M296-1	MTHSD_HUMAN	reviewed	Homo sapiens (Human)	383
Q9BQ89	ENSP00000354163		F110A_HUMAN	reviewed	Homo sapiens (Human)	295
Q9H832	ENSP00000354201	ENSP00000354201 -> Q9H832-1	UBE2Z_HUMAN	reviewed	Homo sapiens (Human)	354
Q6UXN7	ENSP00000354204		TO20L_HUMAN	reviewed	Homo sapiens (Human)	152
Q9P2Y4	ENSP00000354206		ZN219_HUMAN	reviewed	Homo sapiens (Human)	722
Q16288	ENSP00000354207	ENSP00000354207 -> Q16288-1	NTRK3_HUMAN	reviewed	Homo sapiens (Human)	839
Q9Y662	ENSP00000354213		HS3SB_HUMAN	reviewed	Homo sapiens (Human)	390
Q9Y5U8	ENSP00000354223		MPC1_HUMAN	reviewed	Homo sapiens (Human)	109
Q8N6T0	ENSP00000354227	ENSP00000354227 -> Q8N6T0-4	TO6BL_HUMAN	reviewed	Homo sapiens (Human)	577
Q9Y2A7	ENSP00000354251	ENSP00000354251 -> Q9Y2A7-2	NCKP1_HUMAN	reviewed	Homo sapiens (Human)	1128
Q66K79	ENSP00000354255	ENSP00000354255 -> Q66K79-1	CBPZ_HUMAN	reviewed	Homo sapiens (Human)	652
P35030	ENSP00000354280	ENSP00000354280 -> P35030-1	TRY3_HUMAN	reviewed	Homo sapiens (Human)	304
P17538	ENSP00000354294		CTRB1_HUMAN	reviewed	Homo sapiens (Human)	263
O43309	ENSP00000354305		ZSC12_HUMAN	reviewed	Homo sapiens (Human)	604
Q2M385	ENSP00000354335	ENSP00000354335 -> Q2M385-1	MPEG1_HUMAN	reviewed	Homo sapiens (Human)	716
Q8TBC4	ENSP00000354340	ENSP00000354340 -> Q8TBC4-1	UBA3_HUMAN	reviewed	Homo sapiens (Human)	463
A0A0R4J2E8	ENSP00000354346		A0A0R4J2E8_HUMAN	unreviewed	Homo sapiens (Human)	847
Q9Y6N6	ENSP00000354360		LAMC3_HUMAN	reviewed	Homo sapiens (Human)	1575
Q6PCD5	ENSP00000354361		RFWD3_HUMAN	reviewed	Homo sapiens (Human)	774
P57735	ENSP00000354376		RAB25_HUMAN	reviewed	Homo sapiens (Human)	213
P17032	ENSP00000354377		ZN37A_HUMAN	reviewed	Homo sapiens (Human)	561
Q9NWW6	ENSP00000354387	ENSP00000354387 -> Q9NWW6-1	NRK1_HUMAN	reviewed	Homo sapiens (Human)	199
P42224	ENSP00000354394	ENSP00000354394 -> P42224-1	STAT1_HUMAN	reviewed	Homo sapiens (Human)	750
Q15438	ENSP00000354398	ENSP00000354398 -> Q15438-1	CYH1_HUMAN	reviewed	Homo sapiens (Human)	398
Q7L945	ENSP00000354414		ZN627_HUMAN	reviewed	Homo sapiens (Human)	461
Q9BPX6	ENSP00000354415	ENSP00000354415 -> Q9BPX6-1	MICU1_HUMAN	reviewed	Homo sapiens (Human)	476
Q9NRJ3	ENSP00000354416	ENSP00000354416 -> Q9NRJ3-1	CCL28_HUMAN	reviewed	Homo sapiens (Human)	127
A0A0C4DFT8	ENSP00000354425		A0A0C4DFT8_HUMAN	unreviewed	Homo sapiens (Human)	791
R4GNA2	ENSP00000354432		R4GNA2_HUMAN	unreviewed	Homo sapiens (Human)	1341
Q86VI3	ENSP00000354451		IQGA3_HUMAN	reviewed	Homo sapiens (Human)	1631
Q6ZN57	ENSP00000354453		ZFP2_HUMAN	reviewed	Homo sapiens (Human)	461
P07357	ENSP00000354458		CO8A_HUMAN	reviewed	Homo sapiens (Human)	584
Q8N4B1	ENSP00000354461	ENSP00000354461 -> Q8N4B1-4	SESQ1_HUMAN	reviewed	Homo sapiens (Human)	249
P00387	ENSP00000354468	ENSP00000354468 -> P00387-3	NB5R3_HUMAN	reviewed	Homo sapiens (Human)	301
Q12772	ENSP00000354476	ENSP00000354476 -> Q12772-1	SRBP2_HUMAN	reviewed	Homo sapiens (Human)	1141
P56177	ENSP00000354478	ENSP00000354478 -> P56177-1	DLX1_HUMAN	reviewed	Homo sapiens (Human)	255
Q9C0B6	ENSP00000354481	ENSP00000354481 -> Q9C0B6-1	BRNP2_HUMAN	reviewed	Homo sapiens (Human)	783
Q5VZP5	ENSP00000354483		DUS27_HUMAN	reviewed	Homo sapiens (Human)	1158
P37275	ENSP00000354487	ENSP00000354487 -> P37275-2	ZEB1_HUMAN	reviewed	Homo sapiens (Human)	1124
P19237	ENSP00000354488		TNNI1_HUMAN	reviewed	Homo sapiens (Human)	187
P50993	ENSP00000354490		AT1A2_HUMAN	reviewed	Homo sapiens (Human)	1020
Q9Y2M0	ENSP00000354497	ENSP00000354497 -> Q9Y2M0-1	FAN1_HUMAN	reviewed	Homo sapiens (Human)	1017
Q86UU1	ENSP00000354498	ENSP00000354498 -> Q86UU1-1	PHLB1_HUMAN	reviewed	Homo sapiens (Human)	1377
P00395	ENSP00000354499		COX1_HUMAN	reviewed	Homo sapiens (Human)	513
Q9NRM2	ENSP00000354501		ZN277_HUMAN	reviewed	Homo sapiens (Human)	450
O75129	ENSP00000354504	ENSP00000354504 -> O75129-2	ASTN2_HUMAN	reviewed	Homo sapiens (Human)	1339
P21964	ENSP00000354511	ENSP00000354511 -> P21964-1	COMT_HUMAN	reviewed	Homo sapiens (Human)	271
Q96NB3	ENSP00000354518		ZN830_HUMAN	reviewed	Homo sapiens (Human)	372
P11387	ENSP00000354522		TOP1_HUMAN	reviewed	Homo sapiens (Human)	765
Q96A35	ENSP00000354525		RM24_HUMAN	reviewed	Homo sapiens (Human)	216
P00491	ENSP00000354532		PNPH_HUMAN	reviewed	Homo sapiens (Human)	289
O14525	ENSP00000354536	ENSP00000354536 -> O14525-2	ASTN1_HUMAN	reviewed	Homo sapiens (Human)	1302
O75157	ENSP00000354543	ENSP00000354543 -> O75157-1	T22D2_HUMAN	reviewed	Homo sapiens (Human)	780
Q8WWB7	ENSP00000354553	ENSP00000354553 -> Q8WWB7-1	GLMP_HUMAN	reviewed	Homo sapiens (Human)	406
P00156	ENSP00000354554		CYB_HUMAN	reviewed	Homo sapiens (Human)	380
P42345	ENSP00000354558		MTOR_HUMAN	reviewed	Homo sapiens (Human)	2549
Q92845	ENSP00000354560	ENSP00000354560 -> Q92845-1	KIFA3_HUMAN	reviewed	Homo sapiens (Human)	792
P07766	ENSP00000354566		CD3E_HUMAN	reviewed	Homo sapiens (Human)	207
Q9H920	ENSP00000354571	ENSP00000354571 -> Q9H920-1	RN121_HUMAN	reviewed	Homo sapiens (Human)	327
Q9UPN3	ENSP00000354573	ENSP00000354573 -> Q9UPN3-2	MACF1_HUMAN	reviewed	Homo sapiens (Human)	7388
Q7Z2W9	ENSP00000354580	ENSP00000354580 -> Q7Z2W9-1	RM21_HUMAN	reviewed	Homo sapiens (Human)	205
P59796	ENSP00000354581		GPX6_HUMAN	reviewed	Homo sapiens (Human)	221
O75121	ENSP00000354583	ENSP00000354583 -> O75121-1	MFA3L_HUMAN	reviewed	Homo sapiens (Human)	409
Q8WV19	ENSP00000354590		SFT2A_HUMAN	reviewed	Homo sapiens (Human)	159
O75064	ENSP00000354597		DEN4B_HUMAN	reviewed	Homo sapiens (Human)	1496
Q13467	ENSP00000354607		FZD5_HUMAN	reviewed	Homo sapiens (Human)	585
